file	energy	H-bond
md_610k_snap_9.com	-781.8056712447103	O1-H123_O89,O48-H127_O79
md_610k_snap_10.com	-774.84758826198	O1-H123_O89,O48-H127_O79
md_610k_snap_11.com	-784.2646480068671	N83-H88_O47,O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_12.com	-779.4235890812053	O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_13.com	-778.9074620246682	O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_14.com	-778.7050709401123	O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_15.com	-779.0137606573867	O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_16.com	-778.7144755520961	O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_17.com	-777.2285752308205	O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_18.com	-779.7492655100363	O1-H123_O89,O110-H126_O87,O48-H127_O79
md_610k_snap_19.com	-782.150672302466	O1-H123_O89,O110-H126_O87
md_610k_snap_20.com	-781.0868720591278	O1-H123_O89,O110-H126_O87
md_610k_snap_21.com	-781.3574600027351	O1-H123_O89,O110-H126_O87
md_610k_snap_22.com	-781.3144433860163	O1-H123_N83,O1-H123_O89,O110-H126_O87
md_610k_snap_23.com	-781.2041511371673	O1-H123_N83,O1-H123_O89,O110-H126_O87
md_610k_snap_24.com	-779.629348822994	O1-H123_N83,O1-H123_O89
md_610k_snap_25.com	-774.5741006202595	O1-H123_N83,O1-H123_O89,O48-H127_O79
md_610k_snap_26.com	-776.0524734164567	N83-H88_O1,O1-H123_N83,O48-H127_O79
md_610k_snap_27.com	-769.0971348490034	N83-H88_O1,O1-H123_N83,O48-H127_O64
md_610k_snap_28.com	-776.0269969875119	N83-H88_O1,O48-H127_O79
md_610k_snap_29.com	-772.6368625326492	O48-H127_O79
md_610k_snap_30.com	-778.5247496872969	N83-H88_O1,O48-H127_O79
md_610k_snap_31.com	-772.3613770823223	O48-H127_O79
md_610k_snap_32.com	-773.9545028946626	O48-H127_O79
md_610k_snap_33.com	-773.1652653708755	O48-H127_O79
md_610k_snap_34.com	-772.9330279524064	O48-H127_O79
md_610k_snap_35.com	-781.375340205668	O1-H123_O89,O48-H127_O79
md_610k_snap_36.com	-781.1350061979522	O1-H123_O89,O48-H127_O79
md_610k_snap_37.com	-780.2878860899542	O1-H123_O89,O48-H127_O79
md_610k_snap_38.com	-780.145189020352	O1-H123_O89,O48-H127_O79
md_610k_snap_39.com	-779.5104956599306	O1-H123_O89,O48-H127_O79
md_610k_snap_40.com	-776.7471828522521	O1-H123_O89,O48-H127_O79
md_610k_snap_41.com	-778.2249966137671	O1-H123_O89,O48-H127_O79
md_610k_snap_42.com	-772.230504574496	O1-H123_O89,O48-H127_O79
